L42023.1	2	1021	gene-HI_0001	protein_coding	+	gapdH	glyceraldehyde-3-phosphate_dehydrogenase
L42023.1	1190	3013	gene-HI_0002	protein_coding	+	.	long_chain_fatty_acid_coA_ligase%2C_putative
L42023.1	3050	3838	gene-HI_0003	protein_coding	-	.	conserved_hypothetical_protein
L42023.1	3854	4318	gene-HI_0004	protein_coding	-	.	conserved_hypothetical_protein
L42023.1	4579	5391	gene-HI_0005	protein_coding	-	fdhD	fdhD_protein
L42023.1	8750	9688	gene-HI_0007	protein_coding	+	fdxH	formate_dehydrogenase%2C_beta_subunit
L42023.1	9681	10397	gene-HI_0008	protein_coding	+	fdxI	formate_dehydrogenase%2C_gamma_subunit
L42023.1	10467	11375	gene-HI_0009	protein_coding	+	fdhE	fdhE_protein
L42023.1	11414	11854	gene-HI_0010	protein_coding	-	rimI	ribosomal-protein-alanine_acetyltransferase
L42023.1	11857	12261	gene-HI_0011	protein_coding	-	holD	DNA_polymerase_III%2C_psi_subunit
L42023.1	12367	13359	gene-HI_0012	protein_coding	+	.	conserved_hypothetical_protein
L42023.1	13423	14331	gene-HI_0013	protein_coding	-	era	GTP-binding_protein
L42023.1	14328	15011	gene-HI_0014	protein_coding	-	rnc	ribonuclease_III
L42023.1	15013	16062	gene-HI_0015	protein_coding	-	lepB	signal_peptidase_I
L42023.1	16071	17867	gene-HI_0016	protein_coding	-	lepA	GTP-binding_membrane_protein
L42023.1	18035	18418	gene-HI_0017	protein_coding	-	.	conserved_hypothetical_protein
L42023.1	18676	19335	gene-HI_0018	protein_coding	+	ung	uracil_DNA_glycosylase
L42023.1	19405	20829	gene-HI_0019	protein_coding	-	.	conserved_hypothetical_protein
L42023.1	21248	22687	gene-HI_0020	protein_coding	-	.	transport_protein%2C_putative
L42023.1	22689	23939	gene-HI_0021	protein_coding	-	citG	citG_protein
L42023.1	24267	25769	gene-HI_0022	protein_coding	-	citF	citrate_lyase%2C_alpha_chain
L42023.1	25784	26659	gene-HI_0023	protein_coding	-	citE	citrate_lyase%2C_beta_chain
L42023.1	26656	26943	gene-HI_0024	protein_coding	-	citD	citrate_lyase%2C_gamma_chain
L42023.1	26981	27988	gene-HI_0025	protein_coding	-	citC	citrate_lyase_ligase
L42023.1	28239	29201	gene-HI_0026	protein_coding	-	lipA	lipoate_biosynthesis_protein_A
L42023.1	29255	29893	gene-HI_0027	protein_coding	-	lipB	lipoate_biosynthesis_protein_B
L42023.1	29895	30173	gene-HI_0028	protein_coding	-	.	conserved_hypothetical_protein
L42023.1	30229	31410	gene-HI_0029	protein_coding	-	dacA	penicillin-binding_protein_5
L42023.1	31426	32289	gene-HI_0030	protein_coding	-	.	lipoprotein%2C_putative
L42023.1	32341	33456	gene-HI_0031	protein_coding	-	rodA	rod_shape-determining_protein
